hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky
Z9-36-055,Z9/36,55,2026-06-23,"67. Návrh Dodatku č. 1 ke smlouvě o poskytnutí dotace uzavíraný s ČESKÁ LÉKÁRNA HOLDING, a. s.",Přijato,70f2205152eb10f4,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-55-57247.html,47,46,0,0,1,ok,,není označeno jako neplatné,ano
Z9-36-056,Z9/36,56,2026-06-23,"68. Návrh dodatku č. 2 ke smlouvě č. 1522173539 o poskytování veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby s JCMM, z. s. p. o.",Přijato,2d215de44542850b,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-56-57277.html,47,38,4,0,5,ok,,není označeno jako neplatné,ano
Z9-36-057,Z9/36,57,2026-06-23,69. Návrh dodatku č. 1 ke smlouvě o poskytnutí dobrovolného peněžitého příplatku ze dne 29.08.2023 a dodatku č. 1 k patronátní smlouvě ze dne 30.08.2023 – Výstavba Multifunkční sportovní a kulturní haly v Brně,Přijato,265ca442eaae5cf3,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-57-57366.html,47,34,5,5,3,ok,,není označeno jako neplatné,ano
Z9-36-058,Z9/36,58,2026-06-23,70. Návrh Plánu participace – zapojování rodičů v MČ Brno–střed a Brno–sever,Přijato,b5d037c5a256f56f,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-58-57394.html,47,41,0,3,3,ok,,není označeno jako neplatné,ano
Z9-36-059,Z9/36,59,2026-06-23,71. Návrh Memoranda o spolupráci ke vzniku a rozvoji Center duševního zdraví pro děti a dospívající v Brně,Přijato,c64de8a81451147b,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-59-57422.html,47,40,0,4,3,ok,,není označeno jako neplatné,ano
Z9-36-060,Z9/36,60,2026-06-23,72. Návrh prodloužení platnosti Střednědobého plánu rozvoje sociálních služeb ve městě Brně 2023–2026,Přijato,d6a19c89ace50e01,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-60-57453.html,46,40,0,3,3,ok,,není označeno jako neplatné,ano
Z9-36-061,Z9/36,61,2026-06-23,73. Návrh aktualizace Integrované strategie rozvoje Brněnské metropolitní oblasti 2021+,Přijato,a278d5f9d877b17a,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-61-57506.html,46,40,0,4,2,ok,,není označeno jako neplatné,ano
Z9-36-062,Z9/36,62,2026-06-23,74. Zpráva o ex–post evaluaci Integrované strategie rozvoje Brněnské metropolitní oblasti pro uplatnění nástroje ITI (programové období 2014–2020),Přijato,5bc3739c81ff8b0d,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-62-57538.html,46,39,0,0,7,ok,,není označeno jako neplatné,ano
Z9-36-063,Z9/36,63,2026-06-23,75. Strategie #brno2050 – návrh aktualizovaného znění VIZE 2050 a střednědobé části Strategie – PLÁN 2030,Přijato,95a9e1f4daada8e8,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-63-57571.html,46,38,4,0,4,ok,,není označeno jako neplatné,ano
Z9-36-064,Z9/36,64,2026-06-23,77. Finanční prostředky Fondu kofinancování projektů – červen 2026 – návrh rozpočtového opatření,Přijato,67803510d79371fd,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-64-58221.html,44,35,0,4,5,ok,,není označeno jako neplatné,ano
Z9-36-065,Z9/36,65,2026-06-23,"78. Návrh Souhlasného stanoviska zastupitelstva obce s realizací projektu ""Sociální bydlení Hapalova""",Přijato,e3cd6f0c936cbe1a,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-65-58252.html,44,39,0,0,5,ok,,není označeno jako neplatné,ano
Z9-36-066,Z9/36,66,2026-06-23,"80. Projekt ""FoodLink (Strengthening urban–rural links for diverse and resilient local food systems)"" – účast na projektu",Přijato,359811499f1da9a5,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-66-58333.html,44,36,0,4,4,ok,,není označeno jako neplatné,ano
Z9-36-067,Z9/36,67,2026-06-23,"81. Projekt ""Rozvoj ITS v Brně, 6. etapa"" – posouzení projektu",Přijato,0073bd68e208cd74,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-67-58362.html,44,37,0,3,4,ok,,není označeno jako neplatné,ano
Z9-36-068,Z9/36,68,2026-06-23,Body č. 82-84,Přijato,88743f6b9c35e26a,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-68-58396.html,44,41,0,0,3,ok,,není označeno jako neplatné,ano
Z9-36-069,Z9/36,69,2026-06-23,"85. Projekt ""Integrace cizinců ve městě Brně VII."" – rozhodnutí o poskytnutí dotace",Přijato,eaa78b8726afbac0,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-69-58425.html,44,36,4,0,4,ok,,není označeno jako neplatné,ano
Z9-36-070,Z9/36,70,2026-06-23,"86. Projekt ""Sanace skalního tělesa v Kamenné čtvrti"" – Rozhodnutí o poskytnutí dotace č. 25_089/0005882",Přijato,45e8d08fafc29620,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-70-58456.html,45,41,0,0,4,ok,,není označeno jako neplatné,ano
Z9-36-071,Z9/36,71,2026-06-23,"88. Návrh výběru banky pro financování realizace projektu ""Družstevní bydlení pro mladé"" lokalita Kamenný vrch II, včetně úvěrových podmínek",Přijato,59fcdbaec883f68a,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-71-58488.html,44,41,0,0,3,ok,,není označeno jako neplatné,ano
Z9-36-072,Z9/36,72,2026-06-23,"89. Projekt „Družstevní bydlení pro mladé“ lokalita V Aleji – upřesnění dalšího postupu při realizaci projektu, upřesnění kritérií pro nové žadatele o vstup do projektu, vyhlášení nové výzvy k přihlášení do projektu",Přijato,b6e33fb1c0b15621,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-72-58523.html,44,39,0,0,5,ok,,není označeno jako neplatné,ano
Z9-36-073,Z9/36,73,2026-06-23,"90. Projekt ""Dostupné družstevní bydlení – stávající domy, Mostecká 16"" – založení bytového družstva, záměr vnesení pozemku p. č. 573, k. ú. Husovice do nově vznikajícího bytového družstva, stanovení dalšího postupu a kritérií u žadatelů",Přijato,b5f85df141956675,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-73-58687.html,44,38,4,1,1,ok,,není označeno jako neplatné,ano
Z9-36-074,Z9/36,74,2026-06-23,"91. Adresný záměr převodu podílů na bytových jednotkách v domě č. p. 1232 na ul. Opálkova členům Bytového družstva Opálkova, družstvo s nebo bez cenového vyrovnání a podmínky vypořádání podílů na pozemcích p. č. 6261/32, 33, k. ú. Bystrc",Přijato,b74b6f85bf24b8af,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-74-58722.html,44,40,1,0,3,ok,,není označeno jako neplatné,ano
Z9-36-075,Z9/36,75,2026-06-23,"92. Návrh na udělení výjimky ze Statutu startovacího bytu, který je přílohou č. 2 Pravidel pronájmu bytů v domech v majetku statutárního města Brna, ke startovacímu bytu v domě Stamicova 11, Brno – uzavření nájemní smlouvy jako k bytu běžnému obecnímu",Přijato,8dad4de84b7a8176,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-75-58752.html,44,37,1,0,6,ok,,není označeno jako neplatné,ano
Z9-36-076,Z9/36,76,2026-06-23,93. Návrh smlouvy o spolupráci pro realizaci bytové výstavby v k. ú. Nový Lískovec v lokalitě Kamenný vrch II,Přijato,418f77c43db44cd3,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-76-58785.html,45,44,0,0,1,ok,,není označeno jako neplatné,ano
Z9-36-077,Z9/36,77,2026-06-23,Body č. 95-101,Přijato,3c2f2c1b34c648ef,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-77-58860.html,45,42,0,2,1,ok,,není označeno jako neplatné,ano
Z9-36-078,Z9/36,78,2026-06-23,102. Návrh na udělení předchozího souhlasu s prodejem nemovitého majetku společnosti Brněnské komunikace a. s. společnosti MS Trnitá 3 a. s. - hlasování o stažení bodu,Přijato,27a81a6b77191442,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-78-61537.html,45,39,1,0,5,ok,,není označeno jako neplatné,ano
