zasedani,url,nalezeno_v,cislo
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-105-44244.html,99ad4c1f4eaacdd0,105
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-106-44275.html,99ad4c1f4eaacdd0,106
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-107-44312.html,99ad4c1f4eaacdd0,107
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-108-44350.html,99ad4c1f4eaacdd0,108
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-109-44391.html,99ad4c1f4eaacdd0,109
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-110-44577.html,99ad4c1f4eaacdd0,110
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-111-44788.html,99ad4c1f4eaacdd0,111
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-112-44849.html,99ad4c1f4eaacdd0,112
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-113-44929.html,99ad4c1f4eaacdd0,113
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-114-45439.html,99ad4c1f4eaacdd0,114
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-115-46611.html,99ad4c1f4eaacdd0,115
Z9/03,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-116-46652.html,99ad4c1f4eaacdd0,116
Z9/27,https://apl.brno.cz/protokoly-zmb/zmb-z9-27/20250610-50-37461.html,99ad4c1f4eaacdd0,50
Z9/31,https://apl.brno.cz/protokoly-zmb/zmb-z9-31/20251210-8-30539.html,99ad4c1f4eaacdd0,8
Z9/33,https://apl.brno.cz/protokoly-zmb/zmb-z9-33/20260303-60-44274.html,99ad4c1f4eaacdd0,60
Z9/34,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-7-40410.html,99ad4c1f4eaacdd0,7
