hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-14-047,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,9819b16af22ed950,ano,,34. Návrh na poskytnutí neinvestičních dotací v rámci Programu I pro rok 2024 – sociální služby poskytované NNO – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-47-41314.html
Z9-14-048,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,a076205cd5cab1b4,ano,,35. Návrh na poskytnutí neinvestičních příspěvků školám a školským zařízením na podporu dietního stravování ve městě Brně na rok 2024 - návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-48-41347.html
Z9-14-046,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,08d447270eb2eecf,ano,,"33. Návrh na poskytnutí neinvestičního transferu městským částem na opravy v objektech určených pro poskytování sociálních služeb, poskytnutí investičního transferu městské části Brno-Bohunice na pořízení zvedací plošiny, návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-46-41281.html
Z9-14-049,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Nehlasoval,Nehlasoval,342ad33a085d52fa,ano,,"36. Návrh na poskytnutí individuální neinvestiční dotace Trenéři ve škole, z. s., na zabezpečení projektu „Trenéři ve škole“ v období 02-06/2024 – návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-49-41381.html
Z9-14-050,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,4e0b04f3eca88218,ano,,37. Návrh na poskytnutí neinvestičních dotací na podporu vrcholového sportu pro rok 2024 – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-50-41426.html
Z9-14-051,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,6c2b6cf5f6925efb,ano,,38. Návrh na poskytnutí neinvestičních dotací na podporu provozu sportovišť pro rok 2024,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-51-41473.html
Z9-14-052,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,ee50e61a0fcf17d8,ano,,"39. Návrh na poskytnutí individuální neinvestiční dotace Malý fotbal Brno, z. s., na projekt „Podpora činnosti trenérů a animátorů pohybových aktivit na ZŠ“ v období 01-06/2024 – návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-52-41639.html
Z9-14-053,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,36501449ba608765,ano,,"40. Návrh na poskytnutí investičních dotací v rámci dotačního programu Podpora vytváření zelených střech, návrh vzorové veřejnoprávní smlouvy o poskytnutí dotace z rozpočtu města Brna",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-53-41766.html
Z9-14-054,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,0a0fddb56f32be24,ano,,"41. Návrh na poskytnutí investičních dotací v rámci dotačního programu Podpora využití srážkové vody, návrh veřejnoprávní smlouvy o poskytnutí dotace z rozpočtu města Brna",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-54-41799.html
Z9-14-055,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,c1599cbc90fc901e,ano,,42. Návrh na poskytnutí dotací na podporu projektů ekologické výchovy ve městě Brně na rok 2024 a návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-55-41833.html
Z9-14-057,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,ba6c5fc6ba6a6c09,ano,,"44. Návrh na poskytnutí neinvestičních dotací na podporu aktivit k oživení ploch veřejné zeleně ve městě Brně v roce 2024 -""Nábřežít"", návrh vzorové veřejnoprávní smlouvy o poskytnutí dotace z rozpočtu města Brna, návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-57-41918.html
Z9-14-056,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,7187523ec89f0485,ano,,"43. Návrh na poskytnutí neinvestičních dotací na podporu aktivit k oživení ploch veřejné zeleně ve městě Brně v roce 2024 – ""Vnitroblok"", návrh vzorové veřejnoprávní smlouvy o poskytnutí dotace z rozpočtu města Brna, návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-56-41879.html
Z9-14-058,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,1d3311925cfbddb7,ano,,"45. Návrh navýšení poskytnuté individuální dotace, návrh dodatku č. 1 ke smlouvě o poskytnutí individuální dotace z rozpočtu města Brna v letech 2022-2025 uzavřené s Českým filharmonickým sborem Brno, o. p. s.",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-58-41955.html
Z9-14-059,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,7d57d61947672cfe,ano,,"46. Návrh na poskytnutí dotací a uzavření smluv s organizacemi poskytujícími služby zdravotnické, služby v oblasti podpory rodinné politiky a podpory prevence domácího násilí",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-59-42040.html
Z9-14-060,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,649d9b0a3e19cabd,ano,,47. Návrh na uzavření smluv o poskytnutí individuálních dotací z rozpočtu města Brna pro státní příspěvkové organizace v oblasti kultury na roky 2024-2025,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-60-42076.html
Z9-14-063,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,cbbebae5c6530ac7,ano,,"48. Návrh smlouvy o poskytnutí individuální dotace z rozpočtu města Brna v letech 2024–2025 pro společnost DBP, s. r. o., na projekt „Letní scéna Divadla Bolka Polívky v Brně“",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-63-42555.html
